Index,Temperature,Precipitation,Site,SpeciesCount
1,19.31844835,125.2490689,south,42.062321
2,19.49660331,43.43153965,north,19.4199455
3,14.28911628,43.31346219,west,20.39248254
4,18.64358101,77.78900573,north,31.41782636
5,17.13396415,188.4911384,south,57.99259968
6,16.15276759,192.5216028,south,57.51084245
7,17.89270652,147.9710558,south,49.05091103
8,13.07733278,146.6491811,south,49.71016574
9,17.25593832,107.152258,west,34.60006782
10,17.64051827,0.454593217,west,12.77984123
11,15.66193421,121.7874905,south,43.84944488
12,17.75289801,167.3603119,north,48.04420918
13,19.47737798,150.3045125,south,57.00307774
14,14.04343059,90.54631451,north,25.70164196
15,15.69834258,107.1579988,south,41.84233629
16,19.52011618,107.4753391,north,32.78257253
17,19.82581143,0.276168715,north,18.04032752
18,12.93989889,71.13319077,north,24.96887959
19,15.79997665,122.426618,west,32.54343178
20,16.48266197,165.7884261,south,52.59669011
21,19.2322511,71.34439987,south,9.506756388
22,13.10968134,82.12702516,south,3.520134999
23,19.91113383,114.6951798,north,37.50649623
24,19.57334586,117.9356607,north,33.19033621
25,12.65950046,143.9314585,west,36.76852155
26,16.11369427,78.99460904,south,4.123121468
27,15.12162774,183.8407858,south,53.9350811
28,19.24590505,192.5140587,west,56.34911591
29,15.57575702,46.70470511,west,23.27104037
30,18.68803408,144.89952,north,43.46699041
31,17.90076494,180.726905,west,53.60339847
32,18.48844113,120.694817,south,49.30291547
33,15.10486626,126.3014598,north,39.02083264
34,17.48135784,187.4771699,west,52.62231743
35,12.03158671,170.0965501,west,46.05038645
36,18.66332864,115.9641798,south,42.15833244
37,12.05867318,164.2807848,west,40.75426618
38,13.66127178,22.74372182,north,12.07523126
39,19.25281126,152.9015517,north,42.29926757
40,16.89422915,124.7226914,north,32.92983451
41,15.03647392,29.68932134,south,8.451876274
42,15.48617268,16.05289332,north,11.06848645
43,12.29944826,92.81391026,west,31.23390002
44,19.78831931,155.8736323,south,56.18017557
45,15.45400999,146.7055919,west,39.02164036
46,19.66061277,163.4460889,north,48.08820609
47,19.10203924,34.03249625,north,12.53221514
48,17.11983016,188.9440651,north,49.53801601
49,19.76773288,58.72476827,north,28.66395247
50,16.95070566,29.81441049,north,18.60454889
51,14.66741769,143.8757183,south,51.3534889
52,14.77398599,64.8171905,west,24.19024122
53,15.18788329,155.7618997,west,45.14144986
54,18.27754221,78.88820036,west,33.73554979
55,12.31149193,135.7185736,north,31.81201193
56,17.99036309,155.1650085,north,45.53326564
57,17.41821464,37.5738088,north,14.49595746
58,13.37011464,5.817163782,south,18.852147
59,14.08870371,27.14275941,west,25.8411743
60,16.11530348,136.0328356,west,42.29621556
61,17.4048582,186.9645908,north,48.32281767
62,19.86253758,110.0988169,west,40.3873292
63,18.07635414,120.3532471,south,44.87740052
64,16.53190739,39.39889763,west,23.5111601
65,18.79751775,107.0473221,south,42.27443764
66,13.51579148,35.91114786,west,12.37445168
67,14.17029292,90.37729888,west,32.07776914
68,18.62526788,63.41067036,north,22.96032743
69,17.54563856,23.23493408,north,14.1989995
70,13.92435792,37.22043135,north,16.91765684
71,12.34391037,145.9460193,west,44.88881184
72,13.12383275,82.37441424,south,16.42318376
73,13.73108332,82.80993635,north,28.45288976
74,15.83518851,96.0620258,west,34.51719231
75,13.57928274,85.49889312,west,29.69421519
76,17.7548467,27.29807203,north,18.85040038
77,12.06307791,164.9358813,north,41.10376609
78,15.00391972,118.4608485,north,29.9461928
79,16.11526167,158.8793955,south,53.37641567
80,12.01256443,153.8064851,north,32.43413827
81,16.65283202,183.6112835,north,44.59004516
82,13.26324167,172.5259554,south,53.45818788
83,14.87222645,63.39504756,west,25.13284426
84,17.16505503,51.8521152,north,20.19186599
85,18.2065869,148.4532904,south,54.25972458
86,16.50917473,149.4722234,south,47.44019067
87,13.86962719,183.5808068,south,48.31004455
88,12.71984413,158.6382418,south,52.92892613
89,12.68489652,26.66592365,west,17.31094821
90,14.44174696,57.54995043,south,3.905396088
91,17.33941212,38.93522876,west,20.78307888
92,12.00191117,156.8218765,south,44.80433238
93,13.66855966,25.77443235,north,11.63105293
94,19.46427302,25.8178567,north,18.91795019
95,19.40515799,14.45062226,west,18.14915174
96,17.87275441,10.6258967,west,12.30482542
97,14.66457587,106.3748873,north,32.90178118
98,16.12050664,22.46164833,south,7.411721851
99,17.95179717,148.6375439,north,40.79950824
100,16.95327392,146.2630955,south,50.1800965
