Year,Month,Day,Station,Depth,Time Towed,D1,DO,Temp,Salinity,PDO,Avg.Upwelling.Index,Alligatorfish.spp.,Arrowtooth.Flounder,Big.Skate,Bigeye.Poacher,Black.Rockfish,Blackbelly.Eelpout,Blackfin.Poacher,Slender.Sole,Unknown,Warty.Poacher,Wattled.Eelpout,Whitebait.Smelt,Whitebarred.Prickleback,Yellowtail.Rockfish
2008,7,26,MB30,30.00,10,496.29,1.99,7.37,NA,-1.67,62,0,0,0,0,0,0,0,67,0,4,0,0,0,0
2008,8,29,MB30,33.00,10,502.68,3.44,9.04,NA,-1.70,35,0,0,0,0,0,0,0,0,0,17,0,0,0,0
2008,8,11,MB30,30.00,10,496.29,NA,11.88,NA,-1.70,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008,7,26,MB40,40.00,10,517.59,1.73,7.26,NA,-1.67,62,0,0,0,0,0,0,0,0,0,24,0,0,0,2
2008,8,29,MB40,44.00,13,674.91,2.53,8.19,NA,-1.70,35,0,0,0,0,0,0,0,0,0,29,0,0,0,0
2008,8,11,MB40,40.00,10,517.59,4.09,8.28,NA,-1.70,35,0,0,0,0,0,0,0,100,0,20,0,0,0,0
2008,8,26,MB40,47.00,10,532.50,5.20,10.82,NA,-1.70,35,0,0,0,0,0,0,0,0,0,23,0,0,0,0
2008,8,26,MB40,40.00,12,616.79,5.20,10.82,NA,-1.70,35,0,0,0,0,0,0,0,1,0,20,0,0,0,0
2008,7,26,NH05,60.00,10,560.18,1.81,7.29,NA,-1.67,62,0,0,0,0,0,0,0,0,0,48,0,0,0,0
2008,8,11,NH05,60.00,10,560.18,2.10,7.71,NA,-1.70,35,0,0,0,0,0,0,0,332,0,38,0,0,0,0
2008,8,28,NH05,60.00,10,560.18,2.46,8.04,NA,-1.70,35,0,0,0,0,0,0,0,149,0,36,0,0,0,0
2008,8,27,NH05,60.00,10,560.18,2.50,8.17,NA,-1.70,35,0,0,0,0,0,0,0,217,0,40,0,0,0,0
2008,8,25,NH05,60.00,12,659.38,3.69,8.76,NA,-1.70,35,0,0,0,0,0,0,0,60,0,35,0,0,0,0
2008,8,11,NH07,73.20,10,588.29,1.21,7.45,NA,-1.70,35,0,0,0,0,0,0,0,87,0,46,0,0,0,0
2008,7,26,NH10,81.00,10,604.90,1.76,7.27,NA,-1.67,62,0,0,0,0,NA,0,0,0,0,30,0,0,0,0
2008,8,11,NH10,81.60,10,606.18,0.98,7.34,NA,-1.70,35,NA,0,0,0,0,0,0,70,0,47,0,0,0,0
2008,8,27,NH10,80.00,10,602.77,2.25,7.93,NA,-1.70,35,0,0,0,0,0,0,0,70,0,41,0,0,0,0
2008,8,27,NH10,78.00,11,648.11,2.25,7.94,NA,-1.70,35,0,0,0,0,0,0,0,62,0,31,0,0,0,0
2009,7,3,MB30,32.90,10,389.00,2.05,7.52,33.90,-0.53,71,0,0,0,0,0,0,0,23,0,19,0,0,0,0
2009,8,22,MB30,38.60,11,371.00,1.50,7.80,NA,0.09,33,0,0,0,0,0,0,0,0,0,15,0,0,0,0
2009,7,3,MB40,40.10,10,367.00,1.56,7.32,33.90,-0.53,71,NA,0,0,0,0,0,0,0,0,17,0,0,0,0
2009,8,22,MB40,42.50,11,371.00,1.50,7.80,NA,0.09,33,0,0,0,0,0,0,0,35,0,30,0,0,0,0
2009,7,3,NH05,53.60,10,440.00,1.88,7.17,33.90,-0.53,71,0,0,16,0,0,0,0,0,0,34,0,0,0,0
2009,8,22,NH05,54.80,10,145.00,1.58,7.83,NA,0.09,33,0,0,0,1,0,0,0,83,0,23,0,0,0,0
2009,8,22,NH10,80.00,NA,425.00,1.34,7.63,NA,0.09,33,0,0,10,0,0,0,0,35,0,32,0,0,0,0
2010,7,20,MB30,38.00,10,529.00,1.62,6.80,NA,-1.05,131,1,0,1,0,0,0,0,0,0,16,0,0,0,0
2010,8,11,MB30,30.40,10,391.00,2.43,6.80,NA,-1.27,64,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2010,8,30,MB30,31.00,10,583.00,1.31,7.27,NA,-1.27,64,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2010,8,30,MB30,30.00,10,391.00,1.53,7.35,NA,-1.27,64,0,0,0,0,0,0,0,56,0,1,0,0,0,0
2010,7,20,MB40,40.00,10,523.00,1.65,6.80,NA,-1.05,131,0,0,0,0,0,0,0,0,1,16,0,0,0,0
2010,8,11,MB40,40.00,10,562.00,2.09,6.80,NA,-1.27,64,0,0,0,0,0,0,0,0,0,22,0,0,0,0
2010,8,30,MB40,41.50,10,505.00,1.32,7.28,NA,-1.27,64,0,0,0,0,0,0,0,0,0,28,0,0,0,0
2010,6,25,MB40,42.20,10,440.00,2.16,7.86,NA,-0.22,47,0,0,0,0,0,0,0,151,0,28,0,0,0,0
2010,6,25,MN30,32.50,10,575.00,2.29,8.07,NA,-0.22,47,0,0,0,0,3,0,1,119,0,22,0,0,0,0
2010,7,20,NH05,60.00,10,763.00,1.97,6.80,NA,-1.05,131,0,0,0,0,0,0,0,0,0,32,0,0,0,0
2010,8,11,NH05,63.60,10,347.00,1.74,6.80,NA,-1.27,64,0,0,NA,NA,0,0,0,4,0,34,0,0,0,0
2010,7,20,NH10,81.00,10,590.00,2.15,6.80,NA,-1.05,131,0,0,0,0,0,0,0,0,0,44,0,0,0,0
2010,8,11,NH10,81.30,11,692.00,1.93,6.80,NA,-1.27,64,0,0,0,0,0,0,0,3,0,27,0,0,0,0
2010,8,30,NPT40N,44.20,10,381.00,1.27,7.21,NA,-1.27,64,0,0,0,0,0,0,0,0,0,22,0,0,0,0
2010,8,30,NPT50N,53.00,10,472.00,1.24,7.21,NA,-1.27,64,0,0,0,0,0,0,0,0,0,27,0,0,0,0
2011,8,11,MB 40,43.60,11,303.00,1.65,7.50,NA,-1.74,78,0,0,0,0,0,0,0,45,0,21,0,0,0,0
2011,8,11,MB30,31.00,12,622.00,1.99,7.71,NA,-1.74,78,0,0,0,0,0,0,0,83,0,1,0,0,0,0
2011,7,15,MB30,31.10,10,498.64,1.87,7.82,NA,-1.86,83,0,0,0,0,0,0,0,3,0,24,0,0,0,0
2011,7,15,MB30,33.70,10,504.17,1.93,7.85,NA,-1.86,83,0,0,0,0,0,0,0,52,0,15,0,0,0,0
2011,7,15,MB30,31.10,5,250.64,2.17,7.87,NA,-1.86,83,0,0,0,0,0,0,0,0,0,24,0,0,0,0
2011,7,15,MB30,30.20,10,496.72,2.13,7.89,NA,-1.86,83,0,0,0,0,0,0,0,124,0,1,0,0,0,0
2011,7,15,MB30,28.30,10,492.67,2.27,7.98,NA,-1.86,83,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2011,7,16,MB30,32.40,6,303.01,2.17,8.08,NA,-1.86,83,0,0,0,0,0,0,0,728,0,25,0,0,0,0
2011,7,15,MB30,33.10,10,502.90,2.33,8.14,NA,-1.86,83,0,0,0,0,0,0,0,75,0,21,0,0,0,0
2011,7,15,MB30,32.50,10,501.62,2.80,8.55,NA,-1.86,83,0,0,0,0,0,0,0,874,0,20,0,0,0,0
2011,6,6,MB30,29.60,5,247.44,3.65,8.93,NA,-0.69,47,0,0,1000,0,0,0,0,0,0,0,0,0,0,0
2011,6,6,MB30,31.60,8,113.00,3.84,9.03,NA,-0.69,47,0,0,0,0,1,0,0,0,0,20,0,0,0,0
2011,6,6,MB30,28.00,6,293.64,3.96,9.18,NA,-0.69,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,6,6,MB30,29.30,7,346.00,5.22,9.80,NA,-0.69,47,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2011,7,15,MB40,43.00,10,523.98,1.65,7.68,NA,-1.86,83,0,0,0,0,0,0,0,0,0,21,0,0,0,0
2011,7,15,MB40,42.00,10,521.85,1.70,7.70,NA,-1.86,83,0,0,0,0,0,0,0,3,0,34,0,0,0,0
2011,7,15,MB40,42.50,10,522.91,1.72,7.71,NA,-1.86,83,0,0,0,0,0,0,0,47,0,31,0,0,0,0
2011,7,16,MB40,41.10,10,519.93,1.69,7.74,NA,-1.86,83,0,0,0,0,0,0,0,68,0,16,0,0,0,0
2011,7,15,MB40,41.40,10,520.57,1.75,7.75,NA,-1.86,83,0,0,0,0,0,0,0,131,0,19,0,0,0,0
2011,7,15,MB40,39.80,7,368.36,1.90,7.80,NA,-1.86,83,0,0,0,0,0,0,0,68,0,23,0,0,0,0
2011,7,15,MB40,40.00,10,517.59,1.95,7.83,NA,-1.86,83,0,0,0,0,0,0,0,23,0,21,0,0,0,0
2011,7,16,MB40,38.10,6,315.14,1.97,7.88,NA,-1.86,83,0,0,0,0,0,0,0,5,0,21,0,0,0,0
2011,8,11,MB40,38.00,10,484.00,2.54,7.94,NA,-1.74,78,0,0,0,0,0,0,0,607,0,15,0,0,0,0
2011,6,6,MB40,41.10,5,82.00,2.46,8.25,NA,-0.69,47,0,0,0,0,0,0,0,178,0,18,0,0,0,0
2011,6,6,MB40,40.00,5,74.00,2.54,8.27,NA,-0.69,47,0,0,0,0,0,0,0,716,0,21,0,0,0,0
2011,8,11,MB50,52.40,10,494.00,1.57,7.33,NA,-1.74,78,0,0,2,0,0,0,0,0,0,21,0,0,0,0
2011,8,11,MB50,52.20,10,520.00,1.54,7.34,NA,-1.74,78,0,0,0,0,0,0,0,3,0,23,0,0,0,0
2011,6,6,MB50,49.10,5,40.00,2.04,7.96,NA,-0.69,47,0,0,0,0,0,0,0,181,0,30,0,0,0,0
2011,8,11,NH03,33.00,10,414.00,2.57,7.75,NA,-1.74,78,0,0,0,0,0,0,0,68,0,18,0,0,0,0
2011,8,11,NH05,49.20,12,676.00,1.54,7.34,NA,-1.74,78,0,0,0,0,0,0,0,32,0,20,0,0,0,0
2011,8,11,NH05,43.00,10,442.00,2.54,7.94,NA,-1.74,78,0,0,0,0,0,0,0,99,0,34,0,0,0,0
2011,5,1,NPT30N,33.10,10,338.00,3.17,8.22,NA,-0.37,18,0,0,0,0,0,0,0,1049,0,17,0,0,0,0
2011,6,6,NPT30N,30.40,NA,249.15,4.14,9.02,NA,-0.69,47,0,0,0,0,0,0,NA,7,0,0,0,0,0,0
2011,5,1,NPT40N,41.00,10,312.00,2.57,8.06,NA,-0.37,18,0,0,0,0,0,0,0,84,0,16,0,0,0,0
2011,6,6,NPT40N,41.90,5,7.00,2.98,8.32,NA,-0.69,47,0,0,0,0,0,0,0,143,0,28,0,0,0,0
2011,5,1,NPT50N,50.30,10,663.00,2.38,7.93,NA,-0.37,18,1,0,0,0,0,0,0,497,0,25,0,0,0,0
2012,7,6,MB30,29.90,5,670.00,1.07,7.59,33.72,-1.52,126,0,0,0,0,0,0,0,15,0,2,0,0,0,0
2012,7,30,MB30,28.90,10,446.00,1.93,7.63,33.71,-1.52,126,0,0,0,0,0,0,0,101,0,0,0,0,0,0
2012,9,18,MB30,30.99,10,568.00,1.93,8.04,33.72,-2.21,74,0,0,0,0,0,0,0,597,0,0,0,0,0,0
2012,8,7,MB30,26.88,10,470.00,3.83,9.15,33.42,-1.93,76,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012,7,6,MB40,41.90,5,338.00,1.48,7.39,33.81,-1.52,126,0,0,0,0,0,0,0,2,0,33,0,0,0,0
2012,7,30,MB40,33.80,10,458.00,1.71,7.51,33.77,-1.52,126,0,0,0,0,0,0,0,67,0,25,0,0,0,0
2012,7,27,MB40,41.90,10,456.00,1.94,7.53,33.75,-1.52,126,0,0,0,0,0,0,0,0,0,27,0,0,0,0
2012,9,18,MB40,40.00,10,548.00,1.82,8.01,33.72,-2.21,74,0,0,0,0,0,0,0,874,0,25,0,0,0,0
2012,8,7,MB40,41.33,10,552.00,3.29,8.64,33.60,-1.93,76,0,0,0,0,0,0,0,89,0,19,0,0,0,0
2012,7,6,NH03,46.70,5,390.00,1.56,7.35,33.83,-1.52,126,0,0,0,0,0,0,0,2,0,30,0,0,0,0
2012,7,30,NH03,46.60,8,570.00,1.60,7.40,NA,-1.52,126,0,0,0,0,0,0,0,55,0,28,0,0,0,0
2012,7,27,NH03,47.70,10,558.00,1.82,7.44,33.80,-1.52,126,0,0,0,0,0,0,0,45,0,20,0,0,0,0
2012,8,7,NH03,46.50,10,496.00,1.26,7.56,33.75,-1.93,76,0,0,0,0,0,0,0,2,0,20,0,0,0,0
2012,7,30,NH05,56.10,10,566.00,1.39,7.31,33.87,-1.52,126,0,0,0,0,0,0,0,1,0,29,0,0,0,0
2012,7,6,NH05,57.90,5,294.00,2.22,7.36,33.84,-1.52,126,0,0,0,0,0,0,0,23,0,35,0,0,0,0
2012,7,27,NH05,58.60,10,432.00,1.86,7.38,33.84,-1.52,126,0,0,0,0,0,0,0,0,0,39,0,0,0,0
2012,8,7,NH05,57.20,10,534.00,1.18,7.40,33.82,-1.93,76,0,0,0,0,0,0,0,221,0,30,0,0,0,0
2012,9,18,NH05,58.46,10,644.00,1.09,7.78,33.76,-2.21,74,0,0,0,0,0,0,0,101,0,34,0,0,0,0
2012,7,6,NH10,80.00,5,298.00,1.96,7.12,33.90,-1.52,126,0,0,0,0,0,0,0,1,0,47,0,0,0,0
2012,7,27,NH10,80.50,10,528.00,1.79,7.22,33.88,-1.52,126,0,0,0,0,0,0,0,9,0,39,0,0,0,0
2012,8,7,NH10,78.60,10,576.00,1.20,7.26,33.92,-1.93,76,0,0,0,0,0,0,0,43,0,31,0,0,0,0
2012,7,30,NH10,78.60,10,616.00,1.29,7.29,33.91,-1.52,126,0,0,0,0,0,0,0,23,0,31,0,0,0,0
2012,8,7,NH15,123.80,10,546.00,1.22,7.26,33.89,-1.93,76,0,0,0,0,0,0,0,76,0,46,22,0,0,0
2012,9,18,NH15,106.60,10,598.00,1.14,7.63,33.70,-2.21,74,0,0,0,0,0,2,0,337,0,32,0,0,0,0
2012,8,7,NH20,120.00,8,372.00,1.20,7.30,NA,-1.93,76,0,0,0,0,0,0,0,88,0,28,23,0,1,0
2013,8,1,MB30,28.30,10,568.00,2.38,7.42,33.92,NA,30,0,0,0,0,0,0,0,31,0,3,0,0,0,0
2013,6,28,MB30,25.60,10,548.00,4.92,11.25,32.80,-0.78,41,0,0,0,0,0,0,0,0,0,9,0,0,0,0
2013,8,1,MB40,38.40,1,614.00,2.05,7.27,33.91,-1.04,30,0,0,0,0,0,0,0,0,0,17,0,0,0,0
2013,6,28,MB40,32.90,10,610.00,2.67,9.14,33.41,-0.78,41,0,0,0,0,0,0,0,0,0,24,0,48,0,0
2013,8,1,NH03,50.00,10,606.00,2.08,7.27,33.92,-1.04,30,0,0,0,0,0,0,0,0,0,22,0,0,0,0
2013,6,28,NH03,24.40,10,656.00,2.88,9.08,33.45,-0.78,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,1,NH05,58.50,10,706.00,1.91,7.19,33.92,-1.04,30,0,0,0,0,0,0,0,0,0,29,0,0,0,0
2013,6,28,NH05,56.60,11,646.00,1.59,7.55,33.78,-0.78,41,0,0,0,0,0,0,0,45,0,28,0,0,0,0
2013,8,1,NH10,78.60,10,668.00,1.65,7.00,33.93,-1.04,30,0,0,0,0,0,0,0,3,0,29,0,0,0,0
2013,6,28,NH10,78.60,10,642.00,1.21,7.07,33.91,-0.78,41,0,2,0,0,0,0,0,0,0,46,0,0,0,0
2013,6,28,NH15,105.30,13,838.00,1.48,7.06,33.89,-0.78,41,0,10,0,0,0,0,0,0,0,34,0,0,0,0
2013,8,1,NH15,107.90,10,626.00,1.75,7.32,33.85,-1.04,30,0,0,0,0,0,0,0,6,0,44,0,0,0,0
2012,9,18,NH10,79.84,10,652.00,0.93,7.59,33.83,-2.21,74,0,0,0,0,0,0,0,55,0,37,0,0,0,0
