ID,Data.Set,Atlantic.Silverside,Bay.Anchovy,Dusky.Pipefish,Mummichog,Northern.Pipefish,Silver.Perch,Spot
1,Pres,0,8,2,0,2,73,0
2,Pres,0,7,2,0,2,15,1
3,Pres,1,24,18,0,3,26,0
4,Pres,0,28,20,0,4,47,0
5,Pres,0,0,3,0,1,6,2
6,Pres,0,0,7,0,1,0,0
7,Pres,0,0,9,0,1,1,0
10,Pres,0,44,3,0,2,0,0
11,Pres,0,0,5,0,1,1,0
12,Pres,0,47,9,0,0,0,0
13,Pres,0,31,5,0,1,0,0
14,Pres,0,0,3,0,4,0,0
15,Pres,0,0,8,0,2,0,0
16,Pres,0,0,9,0,2,0,0
17,Pres,0,0,4,0,1,0,0
18,Pres,0,0,1,0,0,0,0
19,Pres,0,0,5,0,0,0,1
20,Pres,0,0,3,0,0,0,0
21,Pres,0,0,2,0,0,0,0
22,Pres,0,0,0,1,0,0,0
23,Pres,0,0,4,0,0,0,1
24,Pres,0,0,11,0,1,0,86
25,Pres,0,0,5,0,5,0,84
26,Pres,0,0,5,0,0,0,54
27,Pres,0,0,0,0,0,0,108
28,Pres,0,0,8,0,1,0,65
29,Pres,1,0,2,0,2,0,123
30,Pres,0,2,6,0,2,0,127
31,Pres,2,2,5,0,6,0,152
32,Pres,0,12,1,0,0,0,108
33,Pres,0,0,5,1,2,0,38
34,Pres,1,0,6,0,1,0,58
35,Pres,0,2,1,0,0,0,87
36,Pres,4,1,5,1,3,0,98
37,Pres,28,0,7,0,6,0,62
38,Pres,10,4,3,0,8,0,53
39,Pres,3,0,2,0,12,0,73
40,Pres,23,1,6,0,15,20,4
41,Pres,3,0,7,0,13,6,7
42,Pres,1,0,5,0,6,6,5
43,Pres,2,0,2,0,6,0,11
44,Pres,12,0,8,0,7,8,0
45,Pres,2,0,11,0,6,12,9
46,Pres,0,0,5,0,4,202,4
47,Pres,0,0,8,0,3,259,38
48,Pres,0,0,2,0,2,11,8
49,Pres,7,0,0,0,1,10,1
50,Pres,0,1,4,0,2,4,1
51,Pres,0,0,3,0,0,2,1
52,Pres,0,0,0,0,0,6,0
53,Pres,0,3,3,0,1,69,0
54,Pres,0,23,0,0,0,10,10
55,Pres,0,2,3,0,5,19,19
56,Pres,0,0,2,0,1,17,1
57,Pres,0,0,2,0,4,52,2
58,Pres,0,3,0,0,0,0,0
59,Pres,0,0,1,0,1,20,7
60,Pres,0,5,1,0,0,10,13
61,Pres,0,17,3,0,0,66,26
62,Pres,0,9,0,0,1,42,20
63,Pres,0,47,0,0,0,20,13
64,Pres,0,3,0,0,1,19,39
65,Pres,0,10,1,0,1,7,26
66,Pres,0,7,0,0,0,9,23
67,Pres,0,9,2,0,1,8,25
68,Pres,0,0,0,0,0,3,15
69,Pres,0,1,0,0,0,6,15
70,Pres,0,10,0,0,1,1,13
71,Pres,0,8,0,0,0,0,2
72,Pres,0,10,0,0,0,0,2
73,Pres,0,5,0,0,1,0,11
74,Pres,0,11,1,0,0,3,6
75,Pres,0,0,0,0,0,0,2
76,Pres,0,2,0,0,0,0,9
77,Pres,0,6,0,0,2,2,3
78,Pres,0,5,1,0,2,2,0
79,Pres,0,0,0,0,0,0,14
80,Pres,0,1,0,0,2,1,0
81,Pres,7,2,0,0,0,0,0
82,Pres,3,27,1,0,3,0,0
83,Pres,2,1,1,0,0,3,0
88,Pres,23,1,0,0,0,1,8
89,Pres,1,0,0,0,1,8,11
90,Pres,6,0,0,0,6,6,7
91,Pres,9,0,0,0,3,2,17
94,Pres,14,0,3,0,12,58,5
95,Pres,0,0,0,0,1,2,8
96,Pres,0,1,0,0,0,0,1
97,Hist,0,1,6,0,26,24,79
98,Hist,0,7,4,0,40,10,50
99,Hist,0,0,0,0,3,0,56
100,Hist,5,0,0,0,16,4,72
101,Hist,0,0,2,0,40,27,19
102,Hist,0,0,0,0,64,22,71
103,Hist,0,0,1,0,9,0,27
104,Hist,0,11,5,0,17,27,26
105,Hist,0,0,0,0,5,31,26
106,Hist,0,0,1,0,9,16,45
107,Hist,2,9,0,0,2,0,0
108,Hist,16,7,2,0,31,0,0
109,Hist,87,3,4,0,70,2,0
110,Hist,0,15,3,0,15,0,0
111,Hist,2,27,3,0,52,1,1
112,Hist,5,11,2,0,9,0,0
113,Hist,0,22,17,0,62,2,0
114,Hist,1,1,29,0,146,16,2
115,Hist,1,53,3,0,14,0,0
116,Hist,2,29,1,0,1,0,0
117,Hist,3,0,1,4,0,0,0
118,Hist,4,0,1,12,1,0,0
119,Hist,1,0,1,0,0,0,0
120,Hist,1,0,0,0,0,0,0
121,Hist,1,0,1,0,0,0,0
129,Hist,0,0,0,0,0,0,98
130,Hist,0,2,0,0,3,0,540
131,Hist,0,0,0,0,16,0,616
132,Hist,0,0,0,12,10,0,34
133,Hist,0,0,0,0,5,0,9
134,Hist,0,0,0,0,24,0,149
135,Hist,19,2,0,0,1,0,187
136,Hist,15,1,0,0,6,0,110
137,Hist,0,1,0,0,14,0,261
138,Hist,0,1,0,0,3,0,38
139,Hist,0,1,0,0,8,0,228
140,Hist,39,0,0,31,45,1,96
141,Hist,17,0,0,9,10,0,59
142,Hist,3,0,0,4,8,2,27
143,Hist,9,1,0,20,118,1,194
144,Hist,7,0,0,11,26,0,106
145,Hist,4,0,0,10,39,1,79
146,Hist,0,0,0,0,1,8,17
147,Hist,0,122,0,0,2,2,20
148,Hist,0,16,0,0,4,0,13
149,Hist,0,0,2,0,3,23,60
150,Hist,0,0,1,0,6,25,30
151,Hist,0,6,0,0,3,27,63
152,Hist,0,25,0,0,1,6,4
153,Hist,0,23,0,0,1,12,6
154,Hist,0,20,0,0,0,1,7
155,Hist,0,37,0,0,0,0,31
156,Hist,0,1,0,0,1,8,23
157,Hist,0,93,0,0,6,94,87
158,Hist,0,4,0,0,1,0,0
159,Hist,0,3,0,0,0,0,0
160,Hist,0,2,1,0,1,0,0
161,Hist,0,7,0,0,5,0,0
162,Hist,0,6,0,0,7,0,0
163,Hist,0,1,0,0,10,0,0
166,Hist,0,0,0,0,1,0,0
169,Hist,0,0,1,0,3,0,0
170,Pres,2,3,24,0,0,45,25
171,Pres,7,3,69,0,0,72,23
172,Pres,6,0,47,0,0,33,29
173,Pres,2,1,23,0,0,74,10
174,Pres,0,3,23,0,0,133,15
175,Pres,1,0,21,0,0,106,17
176,Pres,0,10,31,0,4,45,6
177,Pres,0,0,14,0,14,26,5
178,Pres,0,3,36,0,16,20,3
179,Pres,0,0,35,0,10,28,7
180,Pres,0,61,14,0,2,12,4
