toxicity,cap_shape,cap_surface,cap_color,bruises,gill_attach,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above,stalk_surface_below,stalk_color_above,stalk_color_below,veil_color,ring_number,ring_type,spore_print_color,population,habitat
poison,convex,smooth,brown,yes,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,urban
edible,convex,smooth,yellow,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
edible,sunken,smooth,white,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
poison,convex,scaly,white,yes,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,urban
edible,convex,smooth,gray,no,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,convex,scaly,yellow,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
edible,sunken,smooth,white,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
edible,sunken,scaly,white,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
poison,convex,scaly,white,yes,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,grasses
edible,sunken,smooth,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
edible,convex,scaly,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
edible,sunken,smooth,yellow,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
poison,convex,scaly,white,yes,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
edible,convex,fibrous,brown,no,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,fibrous,gray,no,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
edible,flat,fibrous,white,no,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
poison,convex,smooth,brown,yes,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
poison,convex,scaly,white,yes,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
poison,convex,smooth,brown,yes,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
edible,sunken,smooth,yellow,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
poison,convex,scaly,brown,yes,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,grasses
edible,sunken,scaly,yellow,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
edible,sunken,scaly,white,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
edible,sunken,smooth,white,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
poison,flat,smooth,white,yes,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,grasses
edible,convex,scaly,yellow,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
edible,convex,scaly,white,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
edible,flat,fibrous,brown,no,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,solitary,urban
edible,convex,smooth,yellow,yes,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
edible,sunken,smooth,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
poison,convex,scaly,white,yes,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
edible,convex,scaly,yellow,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
edible,convex,scaly,brown,yes,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths
edible,sunken,scaly,yellow,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
edible,convex,fibrous,yellow,yes,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
edible,sunken,fibrous,gray,no,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,urban
poison,convex,scaly,brown,yes,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
edible,convex,fibrous,yellow,yes,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
edible,sunken,smooth,yellow,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
edible,sunken,scaly,yellow,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,yes,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,paths
edible,convex,fibrous,brown,no,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,solitary,urban
poison,convex,scaly,white,yes,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,grasses
edible,convex,smooth,yellow,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
edible,convex,scaly,white,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
edible,convex,smooth,white,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
edible,convex,scaly,yellow,yes,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,paths
edible,flat,scaly,yellow,yes,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,scattered,paths
edible,convex,scaly,brown,yes,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,scattered,grasses
edible,convex,smooth,white,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,sunken,smooth,white,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
poison,convex,scaly,brown,yes,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
poison,convex,smooth,white,yes,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,urban
edible,sunken,scaly,yellow,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
edible,flat,fibrous,gray,no,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,smooth,white,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,smooth,yellow,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
edible,convex,scaly,brown,yes,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,paths
edible,sunken,fibrous,gray,no,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
edible,sunken,scaly,yellow,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
edible,sunken,smooth,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
edible,sunken,scaly,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
edible,sunken,scaly,white,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,flat,smooth,brown,no,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,abundant,grasses
edible,convex,smooth,white,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,flat,scaly,yellow,yes,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
edible,convex,fibrous,gray,no,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
edible,flat,fibrous,yellow,yes,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
edible,sunken,scaly,white,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
edible,flat,fibrous,yellow,yes,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
edible,convex,scaly,brown,yes,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,scattered,paths
edible,sunken,smooth,yellow,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,flat,smooth,yellow,yes,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
edible,convex,smooth,white,yes,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods
edible,flat,scaly,brown,yes,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths
poison,convex,scaly,brown,yes,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
edible,flat,scaly,brown,yes,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,grasses
edible,convex,smooth,brown,no,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,scattered,grasses
poison,convex,scaly,white,yes,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,flat,fibrous,gray,no,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
edible,convex,fibrous,gray,no,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,convex,scaly,yellow,yes,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,scattered,grasses
edible,convex,smooth,brown,no,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,smooth,white,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,convex,smooth,white,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,flat,scaly,brown,yes,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,grasses
edible,sunken,fibrous,brown,no,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
edible,convex,fibrous,brown,no,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
edible,sunken,smooth,white,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,convex,scaly,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,convex,scaly,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
edible,convex,smooth,brown,no,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,convex,smooth,white,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,flat,scaly,brown,yes,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,smooth,yellow,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
edible,sunken,smooth,white,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,scaly,white,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,convex,fibrous,brown,no,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,smooth,yellow,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
poison,flat,scaly,yellow,yes,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,yes,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,paths
edible,sunken,scaly,white,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
edible,convex,scaly,yellow,yes,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,grasses
edible,sunken,scaly,white,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
edible,sunken,scaly,white,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
edible,convex,smooth,yellow,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
edible,convex,smooth,yellow,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
edible,sunken,fibrous,gray,no,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,solitary,urban
edible,convex,fibrous,white,yes,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods
edible,convex,smooth,yellow,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
poison,convex,scaly,white,yes,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
edible,convex,scaly,yellow,yes,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses
edible,sunken,fibrous,gray,no,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
edible,convex,scaly,yellow,yes,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,grasses
edible,convex,smooth,yellow,yes,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods
edible,sunken,fibrous,brown,no,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
poison,convex,smooth,white,yes,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,grasses
edible,convex,scaly,white,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
poison,flat,scaly,brown,yes,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,grasses
edible,flat,smooth,gray,no,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,convex,smooth,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
poison,convex,smooth,white,no,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,smooth,yellow,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
edible,flat,fibrous,gray,no,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,convex,smooth,white,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
edible,sunken,smooth,white,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
edible,sunken,smooth,white,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,sunken,scaly,white,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
edible,flat,smooth,white,yes,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods
edible,convex,scaly,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
edible,flat,smooth,white,yes,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
poison,convex,scaly,white,yes,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
edible,flat,fibrous,white,yes,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
poison,convex,scaly,yellow,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
poison,convex,smooth,brown,yes,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,grasses
edible,sunken,smooth,yellow,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,brown,yes,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,paths
edible,sunken,scaly,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
edible,sunken,fibrous,brown,no,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
edible,flat,scaly,brown,yes,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,paths
edible,convex,scaly,yellow,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
edible,convex,fibrous,gray,no,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,fibrous,white,no,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,convex,scaly,yellow,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
edible,sunken,smooth,yellow,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
edible,sunken,scaly,white,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
edible,convex,scaly,white,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,smooth,brown,no,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,convex,scaly,white,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,sunken,fibrous,brown,no,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,urban
edible,convex,smooth,white,yes,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods
edible,convex,scaly,brown,yes,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,scattered,grasses
edible,sunken,scaly,yellow,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,white,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
edible,sunken,scaly,white,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
edible,sunken,smooth,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,sunken,smooth,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
edible,sunken,scaly,yellow,yes,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
edible,convex,fibrous,brown,no,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
edible,flat,scaly,brown,yes,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,grasses
edible,convex,scaly,white,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,flat,scaly,yellow,yes,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths
edible,sunken,smooth,white,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,sunken,smooth,white,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
edible,convex,scaly,brown,yes,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,grasses
edible,sunken,smooth,white,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,convex,fibrous,gray,no,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
edible,sunken,smooth,yellow,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,fibrous,yellow,yes,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods
edible,sunken,scaly,yellow,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,flat,scaly,yellow,yes,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses
edible,sunken,scaly,white,yes,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
edible,sunken,scaly,white,yes,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
edible,sunken,scaly,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
edible,sunken,smooth,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
poison,convex,scaly,white,yes,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
edible,sunken,fibrous,brown,no,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
edible,flat,fibrous,brown,no,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,urban
edible,convex,smooth,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
edible,flat,scaly,brown,yes,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,scattered,paths
poison,convex,scaly,white,yes,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,sunken,smooth,white,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
edible,flat,fibrous,gray,no,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,urban
edible,sunken,scaly,yellow,yes,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,brown,yes,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths
