std_name,common_name,weight_g,length_nose2tail_base_cm,length_nose2tail_notch_cm,length_nose2tail_end_cm,height_cm,width_cm,height2length_pct,width2length_pct,sex
Abramis_brama,bream,242,23.2,25.4,30,11.5,4,38.4,13.4,NA
Abramis_brama,bream,290,24,26.3,31.2,12.5,4.3,40,13.8,NA
Abramis_brama,bream,340,23.9,26.5,31.1,12.4,4.7,39.8,15.1,NA
Abramis_brama,bream,363,26.3,29,33.5,12.7,4.5,38,13.3,NA
Abramis_brama,bream,430,26.5,29,34,12.4,5.1,36.6,15.1,NA
Abramis_brama,bream,450,26.8,29.7,34.7,13.6,4.9,39.2,14.2,NA
Abramis_brama,bream,500,26.8,29.7,34.5,14.2,5.3,41.1,15.3,NA
Abramis_brama,bream,390,27.6,30,35,12.7,4.7,36.2,13.4,NA
Abramis_brama,bream,450,27.6,30,35.1,14,4.8,39.9,13.8,NA
Abramis_brama,bream,500,28.5,30.7,36.2,14.2,5,39.3,13.7,NA
Abramis_brama,bream,475,28.4,31,36.2,14.3,5.1,39.4,14.1,NA
Abramis_brama,bream,500,28.7,31,36.2,14.4,4.8,39.7,13.3,NA
Abramis_brama,bream,500,29.1,31.5,36.4,13.8,4.4,37.8,12,NA
Abramis_brama,bream,NA,29.5,32,37.3,13.9,5.1,37.3,13.6,M
Abramis_brama,bream,600,29.4,32,37.2,15,5.2,40.2,13.9,M
Abramis_brama,bream,600,29.4,32,37.2,15.4,5.6,41.5,15,NA
Abramis_brama,bream,700,30.4,33,38.3,14.9,5.3,38.8,13.8,M
Abramis_brama,bream,700,30.4,33,38.5,14.9,5.2,38.8,13.5,NA
Abramis_brama,bream,610,30.9,33.5,38.6,15.6,5.1,40.5,13.3,NA
Abramis_brama,bream,650,31,33.5,38.7,14.5,5.7,37.4,14.8,NA
Abramis_brama,bream,575,31.3,34,39.5,15.1,5.6,38.3,14.1,M
Abramis_brama,bream,685,31.4,34,39.2,16,5.4,40.8,13.7,NA
Abramis_brama,bream,620,31.5,34.5,39.7,15.5,5.3,39.1,13.3,NA
Abramis_brama,bream,680,31.8,35,40.6,15.5,6.1,38.1,15.1,NA
Abramis_brama,bream,700,31.9,35,40.5,16.2,5.6,40.1,13.8,NA
Abramis_brama,bream,725,31.8,35,40.9,16.4,6.1,40,14.8,M
Abramis_brama,bream,720,32,35,40.6,16.4,6.1,40.3,15,NA
Abramis_brama,bream,714,32.7,36,41.5,16.5,5.9,39.8,14.1,NA
Abramis_brama,bream,850,32.8,36,41.6,16.9,6.2,40.6,14.9,NA
Abramis_brama,bream,1000,33.5,37,42.6,19,6.6,44.5,15.5,F
Abramis_brama,bream,920,35,38.5,44.1,18,6.3,40.9,14.3,F
Abramis_brama,bream,955,35,38.5,44,18.1,6.3,41.1,14.3,NA
Abramis_brama,bream,925,36.2,39.5,45.3,18.8,6.7,41.4,14.9,M
Abramis_brama,bream,975,37.4,41,45.9,18.6,6.7,40.6,14.7,F
Abramis_brama,bream,950,38,41,46.5,17.6,6.4,37.9,13.7,NA
Leusiscus_idus,ide,270,23.6,26,28.7,8.4,4.2,29.2,14.8,NA
Leusiscus_idus,ide,270,24.1,26.5,29.3,8.1,4.2,27.8,14.5,NA
Leusiscus_idus,ide,306,25.6,28,30.8,8.8,4.7,28.5,15.2,NA
Leusiscus_idus,ide,540,28.5,31,34,10.7,6.6,31.6,19.3,NA
Leusiscus_idus,ide,800,33.7,36.4,39.6,11.8,6.6,29.7,16.6,F
Leusiscus_idus,ide,1000,37.3,40,43.5,12.4,6.5,28.4,15,NA
