"bay","behavior","site_track","x","y","length","Euclid"
"FB","none","176278_5",531021.82561569,5370958.53693433,68780.1849281993,2779.19054661654
"FB","none","177264_4",530003.523190975,5369771.88981869,39106.3035577043,2689.33753755269
"FB","none","177268_4",538629.749528886,5382199.11926551,191313.976855231,13191.4996563528
"FB","none","179338_4",525348.07944475,5393714.32574904,161185.967026341,22364.2627027091
"FB","none","179346_4",534017.224053706,5369338.03378195,108265.320578139,4397.46174070511
"FB","none","180396_2",537013.307589616,5372754.50431937,110232.979727757,7467.94093343405
"FB","none","180396_3",530194.685965874,5369239.31282222,52913.2705447797,2452.32066558132
"FB","none","180397_4",538783.988989458,5382019.12163292,99138.0665626653,13693.5450263769
"FB","none","180401_2",534384.325821514,5380106.33676378,111953.356101076,9459.05846140811
"FB","none","180402_4",536353.094619695,5393922.30486973,99263.6229612666,22987.6054633408
"FB","photo","179343_4",536736.989351751,5380490.76954416,133812.466348974,10885.819989327
"FB","photo","183858_5",530002.109308446,5369770.84965134,34022.2516705352,1120.16129986119
"FB","photo","183863_5",540200.706814121,5380054.3667773,121342.133722288,13277.6685973199
"FB","photo","186114_1",540353.3043399,5381618.92443779,105425.729694911,14749.8966741616
"FB","photo","186119_2",536246.958510525,5375432.76753535,190388.121434947,7002.45944463115
"FB","photo","187294_3",539757.0223554,5379694.77359819,117362.141775502,12970.1878322036
"FB","photo","191139_2",532054.562031208,5400917.91816502,140124.239976474,31164.6545958163
"FB","photo","196564_5",536019.268302221,5377323.46698088,114787.885451779,9575.11278970714
"FB","photo","196567_1",539424.71225622,5385922.35914185,125506.973925211,18489.5821078135
"FB","photo","199350_5",539377.501032254,5384644.12027784,116376.392079084,17776.9599288006
"FB","onto","175318_4",536425.337264604,5373045.2090728,148877.069056424,6564.833327554
"FB","onto","181540_4",536345.839168896,5380508.86089508,121285.821783019,10311.7082690345
"FB","onto","182697_5",523908.372324615,5373975.15698628,161593.117273215,6850.32359130386
"FB","onto","182699_5",539404.275287528,5383644.18316806,167207.193149583,15398.289007277
"FB","onto","189786_4",534025.286328977,5378291.06783874,173138.049800786,8849.63096278838
"FB","onto","191143_1",533637.620747078,5401574.09103907,153221.10349025,31679.7816809544
"FB","onto","191143_5",535440.846591254,5374688.91724977,137991.382424837,6321.18300188633
"FB","onto","196555_4",535207.017251302,5375618.75345394,159413.564684533,7842.81276005928
"FB","onto","196567_5",530009.232627203,5369772.73537014,43052.8122528718,1555.35435894875
"FB","onto","197938_5",537192.448956667,5390320.9891696,127421.54768352,22301.9320264684
"PB","none","195222_4",536319.265741334,5368473.08953254,163126.124256742,4393.60135170469
"PB","none","195232_3",534730.097291695,5376339.1027208,105104.796081896,3237.97254794644
"PB","none","195275_1",534124.768784179,5400656.66531687,105936.078855743,22416.743036004
"PB","none","196615_3",536354.160434252,5393986.1208421,96064.3308828373,21236.5545102422
"PB","none","196629_1",537613.834017406,5390736.38975413,98019.3202599002,16806.5828253561
"PB","none","203269_5",537511.732105952,5375610.28600898,114509.838479615,5748.25595044812
"PB","none","204385_4",535338.173713861,5375923.00986809,155384.968291,6349.57667051994
"PB","none","207398_4",533500.74954454,5379689.50069383,132084.095789225,10204.2254353892
"PB","none","210996_5",538159.60062286,5370643.10254839,129547.497371023,1833.32842473415
"PB","none","211008_5",536545.003104598,5373452.0947988,130496.336247283,3428.21087027427
"PB","photo","195231_1",540503.883413299,5385019.10174657,111631.473977015,12547.6496530961
"PB","photo","195275_4",540194.892580453,5382342.77565367,93750.6729265139,6459.81088687663
"PB","photo","196627_2",541864.507282919,5381854.83808509,119212.415889248,9881.93340918197
"PB","photo","202045_5",540755.480385801,5383944.14286205,118270.560362247,12145.3489178346
"PB","photo","203302_1",538446.097221076,5369061.77365656,153146.880584622,3365.26111204574
"PB","photo","203304_2",541250.050765682,5383016.00390764,140435.56599662,11460.7411406572
"PB","photo","204425_1",535742.517074145,5379383.54349235,77288.4746158614,7260.15802969188
"PB","photo","208302_4",541047.323205408,5382280.80242267,121168.086848848,14279.1820229321
"PB","photo","208314_3",537899.006539006,5375902.15310018,90399.7991785007,6218.62905005484
"PB","photo","210982_5",534918.420776651,5373684.92708577,144144.857997301,5445.99447729733
"PB","onto","195267_3",505389.540320819,5378906.44538267,253299.934465077,30446.2280486656
"PB","onto","197989_2",535612.084144672,5378120.10169605,179049.07797665,5549.37764235626
"PB","onto","203264_3",537196.331560734,5390334.21920781,140495.595086706,20631.3172596189
"PB","onto","203271_4",537190.840291232,5390590.33020118,164532.575996138,20209.1904659233
"PB","onto","204385_5",535110.386415408,5377204.58052149,166991.488327312,7637.83908848413
"PB","onto","205392_1",537418.719218422,5390985.42674798,231462.876757724,22425.258703543
"PB","onto","206402_2",536299.479234727,5393811.67801255,69379.7765727799,24009.3909346619
"PB","onto","210070_3",536283.138132603,5393776.84842955,88929.6129444205,25887.3106176883
"PB","onto","210996_3",536322.190033552,5393929.54773542,147693.692671661,24676.1503271975
"PB","onto","215566_4",526328.957563555,5396482.77694973,157358.06875015,29966.6710721743
