"bay","behavior","site_track","x","y"
"FB","none","177264_4",529310.875,5372370.5
"FB","none","177264_4",529309.257445378,5372362.12275661
"FB","none","177264_4",529307.639890756,5372353.74551322
"FB","none","177264_4",529306.022336135,5372345.36826982
"FB","none","177264_4",529304.404781513,5372336.99102643
"FB","none","177264_4",529301.382744718,5372333.88555533
"FB","none","177264_4",529298.360707924,5372330.78008424
"FB","none","177264_4",529295.338671129,5372327.67461314
"FB","none","177264_4",529292.316634335,5372324.56914204
"FB","none","177264_4",529289.29459754,5372321.46367095
"FB","none","177264_4",529286.272560745,5372318.35819985
"FB","none","177264_4",529283.250523951,5372315.25272875
"FB","none","177264_4",529280.228487156,5372312.14725766
"FB","none","177264_4",529277.988850033,5372308.77314293
"FB","none","177264_4",529275.749212909,5372305.3990282
"FB","none","177264_4",529273.509575786,5372302.02491348
"FB","none","177264_4",529276.441163743,5372291.44384143
"FB","none","177264_4",529279.3727517,5372280.86276938
"FB","none","177264_4",529279.808802226,5372275.96239363
"FB","none","177264_4",529280.244852752,5372271.06201788
"FB","none","177264_4",529280.680903279,5372266.16164212
"FB","none","177264_4",529281.116953805,5372261.26126637
"FB","none","177264_4",529281.553004331,5372256.36089062
"FB","none","177264_4",529281.989054858,5372251.46051486
"FB","none","177264_4",529282.425105384,5372246.56013911
"FB","none","177264_4",529283.332018087,5372236.36817065
"FB","none","177264_4",529284.23893079,5372226.1762022
"FB","none","177264_4",529285.145843493,5372215.98423374
"FB","none","177264_4",529286.052756196,5372205.79226528
"FB","none","177264_4",529286.959668899,5372195.60029683
"FB","none","177264_4",529287.866581602,5372185.40832837
"FB","none","177264_4",529288.773494306,5372175.21635992
"FB","none","177264_4",529289.680407009,5372165.02439146
"FB","none","177264_4",529290.587319712,5372154.83242301
"FB","none","177264_4",529291.494232415,5372144.64045455
"FB","none","177264_4",529292.401145118,5372134.44848609
"FB","none","177264_4",529293.308057821,5372124.25651764
"FB","none","177264_4",529293.516977858,5372121.9086552
"FB","none","177264_4",529297.422948368,5372119.06044427
"FB","none","177264_4",529301.328918878,5372116.21223333
"FB","none","177264_4",529305.234889388,5372113.3640224
"FB","none","177264_4",529309.140859898,5372110.51581147
"FB","none","177264_4",529313.046830408,5372107.66760054
"FB","none","177264_4",529316.952800918,5372104.81938961
"FB","none","177264_4",529320.858771428,5372101.97117868
"FB","none","177264_4",529324.764741938,5372099.12296775
"FB","none","177264_4",529328.670712448,5372096.27475682
"FB","none","177264_4",529332.576682959,5372093.42654589
"FB","none","177264_4",529336.482653469,5372090.57833496
"FB","none","177264_4",529338.424379872,5372089.16243943
"FB","none","177264_4",529340.366106275,5372087.7465439
"FB","none","177264_4",529341.63401721,5372086.82199064
"FB","none","177264_4",529342.901928145,5372085.89743738
"FB","none","177264_4",529344.16983908,5372084.97288413
"FB","none","177264_4",529345.437750015,5372084.04833087
"FB","none","177264_4",529346.70566095,5372083.12377761
"FB","none","177264_4",529347.973571885,5372082.19922436
"FB","none","177264_4",529349.24148282,5372081.2746711
"FB","none","177264_4",529350.509393755,5372080.35011784
"FB","none","177264_4",529351.77730469,5372079.42556459
"FB","none","177264_4",529353.045215625,5372078.50101133
"FB","none","177264_4",529351.713140243,5372079.47235286
"FB","none","177264_4",529350.381064862,5372080.44369439
"FB","none","177264_4",529348.09027438,5372082.11412541
"FB","none","177264_4",529345.799483899,5372083.78455643
"FB","none","177264_4",529343.508693417,5372085.45498745
"FB","none","177264_4",529341.217902936,5372087.12541847
"FB","none","177264_4",529338.927112454,5372088.79584949
"FB","none","177264_4",529336.636321973,5372090.46628051
"FB","none","177264_4",529334.345531491,5372092.13671153
"FB","none","177264_4",529332.05474101,5372093.80714255
"FB","none","177264_4",529329.763950528,5372095.47757357
"FB","none","177264_4",529327.473160047,5372097.14800459
"FB","none","177264_4",529325.247081071,5372098.77124828
"FB","none","177264_4",529323.021002095,5372100.39449198
"FB","none","177264_4",529320.794923119,5372102.01773568
"FB","none","177264_4",529318.568844143,5372103.64097938
"FB","none","177264_4",529316.342765167,5372105.26422308
"FB","none","177264_4",529314.116686191,5372106.88746678
"FB","none","177264_4",529311.890607215,5372108.51071048
"FB","none","177264_4",529309.664528239,5372110.13395418
"FB","none","177264_4",529307.438449263,5372111.75719788
"FB","none","177264_4",529305.212370287,5372113.38044157
"FB","none","177264_4",529302.986291311,5372115.00368527
"FB","none","177264_4",529300.760212336,5372116.62692897
"FB","none","177264_4",529299.847902665,5372117.29217981
"FB","none","177264_4",529298.394485963,5372118.35200274
"FB","none","177264_4",529296.941069262,5372119.41182566
"FB","none","177264_4",529295.48765256,5372120.47164859
"FB","none","177264_4",529294.034235859,5372121.53147151
"FB","none","177264_4",529292.227260843,5372122.84910711
"FB","none","177264_4",529291.715295908,5372128.60261588
"FB","none","177264_4",529291.203330974,5372134.35612465
"FB","none","177264_4",529290.691366039,5372140.10963341
"FB","none","177264_4",529290.179401105,5372145.86314218
"FB","none","177264_4",529289.667436171,5372151.61665095
"FB","none","177264_4",529289.155471236,5372157.37015972
"FB","none","177264_4",529288.756727094,5372161.85128274
"FB","none","177264_4",529288.357982952,5372166.33240575
"FB","none","177264_4",529287.95923881,5372170.81352877
